date,ce_entry,pe_entry,ce_sl,pe_sl,ce_exit,ce_exit_time,pe_exit,pe_exit_time,entry,exit,diff
3/10/2018,176.6,149.85,211.92,179.82,220,10:57:59,182.05,14:40:59,326.45,402.05,-75.6
4/10/2018,74,111.1,88.8,133.32,107.55,10:40:59,138.15,11:04:59,185.1,245.7,-60.6
5/10/2018,370.3,320.15,444.36,384.18,448.05,14:25:59,413.8,15:07:59,690.45,861.85,-171.4
8/10/2018,290.5,293.6,348.6,352.32,351.3,11:15:59,354,13:20:59,584.1,705.3,-121.2
9/10/2018,238.5,225,286.2,270,297.45,14:46:59,281,12:45:59,463.5,578.45,-114.95
10/10/2018,148.9,180.05,178.68,216.06,180,10:34:59,23.15,15:15:59,328.95,203.15,125.8
11/10/2018,88,135.05,105.6,162.06,109.3,11:49:59,0.25,15:15:59,223.05,109.55,113.5
12/10/2018,305.5,311.25,366.6,373.5,267.15,15:15:59,286.45,15:15:59,616.75,553.6,63.15
12/10/2018,305.5,311.25,366.6,373.5,267.15,15:15:59,286.45,15:15:59,616.75,553.6,63.15
15/10/2018,201.1,286.95,241.32,344.34,248.95,12:28:59,192.2,15:15:59,488.05,441.15,46.9
16/10/2018,134.25,199.8,161.1,239.76,98.5,15:15:59,240,11:39:59,334.05,338.5,-4.45
17/10/2018,77.6,73.9,93.12,88.68,0.05,15:15:59,92.6,10:33:59,151.5,92.65,58.85
17/10/2018,77.6,73.9,93.12,88.68,0.05,15:15:59,92.6,10:33:59,151.5,92.65,58.85
19/10/2018,302.65,280.2,363.18,336.24,258.85,15:15:59,344.45,10:30:59,582.85,603.3,-20.45
19/10/2018,302.65,280.2,363.18,336.24,258.85,15:15:59,344.45,10:30:59,582.85,603.3,-20.45
22/10/2018,208,285.1,249.6,342.12,251.35,11:56:59,365.5,14:35:59,493.1,616.85,-123.75
23/10/2018,167.4,272.8,200.88,327.36,143.3,15:15:59,327.75,11:32:59,440.2,471.05,-30.85
24/10/2018,145.5,167.7,174.6,201.24,109.15,15:15:59,204,10:59:59,313.2,313.15,0.05
25/10/2018,94.65,145.95,113.58,175.14,0.6,15:15:59,176.8,10:38:59,240.6,177.4,63.2
26/10/2018,276.95,297.5,332.34,357,175.55,15:15:59,358.65,14:14:59,574.45,534.2,40.25
29/10/2018,213,288.55,255.6,346.26,261.25,12:08:59,98.65,15:15:59,501.55,359.9,141.65
30/10/2018,202.45,207,242.94,248.4,90.35,15:15:59,250.3,10:51:59,409.45,340.65,68.8
31/10/2018,184,213.2,220.8,255.84,222.35,11:10:59,16.15,15:15:59,397.2,238.5,158.7
1/11/2018,86.9,94.65,104.28,113.58,114.8,10:30:59,0.2,15:15:59,181.55,115,66.55
2/11/2018,182.05,220.25,218.46,264.3,225,11:46:59,183.6,15:15:59,402.3,408.6,-6.3
5/11/2018,118,168.1,141.6,201.72,157,15:16:59,205,11:16:59,286.1,362,-75.9
6/11/2018,70.55,54,84.66,64.8,0.05,15:15:59,68.6,10:52:59,124.55,68.65,55.9
9/11/2018,229.8,205.95,275.76,247.14,255.75,15:15:59,168.9,15:15:59,435.75,424.65,11.1
12/11/2018,201.3,173.5,241.56,208.2,114.65,15:15:59,220,13:10:59,374.8,334.65,40.15
13/11/2018,150.5,190.3,180.6,228.36,190,12:14:59,233,10:48:59,340.8,423,-82.2
14/11/2018,149.25,110.9,179.1,133.08,180.65,10:41:59,43.55,15:15:59,260.15,224.2,35.95
15/11/2018,87.8,59.4,105.36,71.28,110.65,10:54:59,0.05,15:15:59,147.2,110.7,36.5
16/11/2018,194.5,237.7,233.4,285.24,178.25,15:15:59,287,11:08:59,432.2,465.25,-33.05
16/11/2018,194.5,237.7,233.4,285.24,178.25,15:15:59,287,11:08:59,432.2,465.25,-33.05
19/11/2018,235.2,212.9,282.24,255.48,285,13:17:59,180.85,15:15:59,448.1,465.85,-17.75
20/11/2018,172.5,184.5,207,221.4,121.1,15:15:59,222,14:10:59,357,343.1,13.9
21/11/2018,132.85,118,159.42,141.6,162.25,11:45:59,30.5,15:15:59,250.85,192.75,58.1
22/11/2018,59.55,64.15,71.46,76.98,0.1,15:15:59,84.25,10:42:59,123.7,84.35,39.35
22/11/2018,59.55,64.15,71.46,76.98,0.1,15:15:59,84.25,10:42:59,123.7,84.35,39.35
26/11/2018,182.8,181.3,219.36,217.56,219.85,13:16:59,218.25,11:34:59,364.1,438.1,-74
27/11/2018,136.7,156.1,164.04,187.32,166,10:35:59,191.35,11:26:59,292.8,357.35,-64.55
28/11/2018,111,114,133.2,136.8,59.8,15:15:59,137.2,13:26:59,225,197,28
29/11/2018,58.65,65.5,70.38,78.6,73.9,10:30:59,0.05,15:15:59,124.15,73.95,50.2
30/11/2018,222.2,212.85,266.64,255.42,182.3,15:15:59,255.85,11:54:59,435.05,438.15,-3.1
3/12/2018,212.35,199.15,254.82,238.98,192.7,15:15:59,241.75,12:17:59,411.5,434.45,-22.95
4/12/2018,199.55,151.75,239.46,182.1,176,15:15:59,132.95,15:15:59,351.3,308.95,42.35
5/12/2018,127.2,138.5,152.64,166.2,168.25,12:27:59,170,14:52:59,265.7,338.25,-72.55
6/12/2018,87.1,59.2,104.52,71.04,109.25,13:07:59,80,10:33:59,146.3,189.25,-42.95
7/12/2018,314.45,312.8,377.34,375.36,380.95,15:01:59,212.85,15:15:59,627.25,593.8,33.45
10/12/2018,326.65,280,391.98,336,393.6,11:21:59,339.25,13:57:59,606.65,732.85,-126.2
11/12/2018,250.45,250.5,300.54,300.6,305.9,11:17:59,307.95,10:33:59,500.95,613.85,-112.9
12/12/2018,105,136.85,126,164.22,126.8,13:45:59,37.15,15:15:59,241.85,163.95,77.9
13/12/2018,79.5,67.15,95.4,80.58,0.1,15:15:59,100.9,11:38:59,146.65,101,45.65
14/12/2018,191.5,257.6,229.8,309.12,167.25,15:15:59,247,15:15:59,449.1,414.25,34.85
14/12/2018,191.5,257.6,229.8,309.12,167.25,15:15:59,247,15:15:59,449.1,414.25,34.85
17/12/2018,168.15,173.3,201.78,207.96,176.75,15:15:59,139.6,15:15:59,341.45,316.35,25.1
18/12/2018,137.55,145.25,165.06,174.3,169.85,12:39:59,40.95,15:15:59,282.8,210.8,72
19/12/2018,130.95,111.4,157.14,133.68,120.15,15:15:59,139,11:13:59,242.35,259.15,-16.8
20/12/2018,65.7,79.7,78.84,95.64,79.05,12:57:59,96.15,10:29:59,145.4,175.2,-29.8
21/12/2018,228,190.8,273.6,228.96,110.7,15:15:59,229.4,11:47:59,418.8,340.1,78.7
21/12/2018,228,190.8,273.6,228.96,110.7,15:15:59,229.4,11:47:59,418.8,340.1,78.7
24/12/2018,189.65,126.05,227.58,151.26,233.4,12:39:59,156.75,10:32:59,315.7,390.15,-74.45
24/12/2018,189.65,126.05,227.58,151.26,233.4,12:39:59,156.75,10:32:59,315.7,390.15,-74.45
26/12/2018,155.65,99.95,186.78,119.94,189.85,10:58:59,11.4,15:15:59,255.6,201.25,54.35
27/12/2018,126.7,44.5,152.04,53.4,153.45,10:43:59,55.2,10:29:59,171.2,208.65,-37.45
28/12/2018,216.25,194,259.5,232.8,175.2,15:15:59,199.95,15:15:59,410.25,375.15,35.1
31/12/2018,185,147.8,222,177.36,176.05,15:15:59,188,12:17:59,332.8,364.05,-31.25
